Pixel,mm,Value (Cnt)
1092,-20.232,2698.000
1093,-20.223,2746.000
1094,-20.213,2808.000
1095,-20.203,2809.000
1096,-20.193,2814.000
1097,-20.183,2739.000
1098,-20.173,2684.000
1099,-20.163,2711.000
1100,-20.153,2811.000
1101,-20.142,2742.000
1102,-20.132,2826.000
1103,-20.122,2742.000
1104,-20.112,2765.000
1105,-20.102,2755.000
1106,-20.092,2922.000
1107,-20.082,2708.000
1108,-20.072,2752.000
1109,-20.062,2709.000
1110,-20.052,2792.000
1111,-20.042,2687.000
1112,-20.031,2723.000
1113,-20.022,2689.000
1114,-20.012,2639.000
1115,-20.002,2775.000
1116,-19.992,2772.000
1117,-19.982,2673.000
1118,-19.972,2746.000
1119,-19.962,2702.000
1120,-19.952,2740.000
1121,-19.942,2643.000
1122,-19.932,2709.000
1123,-19.921,2710.000
1124,-19.911,2802.000
1125,-19.901,2714.000
1126,-19.891,2715.000
1127,-19.881,2689.000
1128,-19.871,2716.000
1129,-19.861,2754.000
1130,-19.851,2713.000
1131,-19.841,2640.000
1132,-19.831,2674.000
1133,-19.821,2749.000
1134,-19.811,2802.000
1135,-19.801,2592.000
1136,-19.791,2762.000
1137,-19.781,2725.000
1138,-19.771,2760.000
1139,-19.761,2680.000
1140,-19.751,2712.000
1141,-19.741,2688.000
1142,-19.731,2749.000
1143,-19.721,2736.000
1144,-19.710,2755.000
1145,-19.700,2682.000
1146,-19.690,2752.000
1147,-19.680,2675.000
1148,-19.670,2879.000
1149,-19.660,2648.000
1150,-19.650,2699.000
1151,-19.640,2773.000
1152,-19.630,2740.000
1153,-19.620,2704.000
1154,-19.611,2647.000
1155,-19.600,2683.000
1156,-19.590,2771.000
1157,-19.580,2739.000
1158,-19.570,2722.000
1159,-19.560,2718.000
1160,-19.550,2691.000
1161,-19.540,2639.000
1162,-19.530,2665.000
1163,-19.520,2727.000
1164,-19.510,2789.000
1165,-19.499,2749.000
1166,-19.489,2792.000
1167,-19.479,2801.000
1168,-19.469,2791.000
1169,-19.459,2697.000
1170,-19.449,2728.000
1171,-19.439,2677.000
1172,-19.429,2646.000
1173,-19.419,2676.000
1174,-19.410,2718.000
1175,-19.400,2713.000
1176,-19.389,2753.000
1177,-19.379,2619.000
1178,-19.369,2699.000
1179,-19.359,2623.000
1180,-19.349,2758.000
1181,-19.339,2760.000
1182,-19.329,2803.000
1183,-19.319,2695.000
1184,-19.309,2779.000
1185,-19.299,2634.000
1186,-19.288,2808.000
1187,-19.278,2645.000
1188,-19.268,2764.000
1189,-19.258,2645.000
1190,-19.248,2679.000
1191,-19.238,2695.000
1192,-19.228,2672.000
1193,-19.218,2715.000
1194,-19.209,2820.000
1195,-19.199,2757.000
1196,-19.189,2743.000
1197,-19.178,2681.000
1198,-19.168,2799.000
1199,-19.158,2723.000
1200,-19.148,2749.000
1201,-19.138,2748.000
1202,-19.128,2849.000
1203,-19.118,2868.000
1204,-19.108,2860.000
1205,-19.098,2651.000
1206,-19.088,2726.000
1207,-19.078,2746.000
1208,-19.067,2819.000
1209,-19.057,2791.000
1210,-19.047,2821.000
1211,-19.037,2758.000
1212,-19.027,2755.000
1213,-19.017,2667.000
1214,-19.008,2815.000
1215,-18.998,2707.000
