Pixel,mm,Value (Cnt)
747,-29.347,41.000
748,-29.337,39.000
749,-29.327,40.000
750,-29.317,38.000
751,-29.307,38.000
752,-29.297,40.000
753,-29.288,46.000
754,-29.278,41.000
755,-29.268,39.000
756,-29.257,14.000
757,-29.247,14.000
758,-29.237,10.000
759,-29.227,8.000
760,-29.217,8.000
761,-29.207,5.000
762,-29.197,6.000
763,-29.187,5.000
764,-29.177,5.000
765,-29.167,9.000
766,-29.157,9.000
767,-29.146,45.000
768,-29.136,38.000
769,-29.126,38.000
770,-29.116,35.000
771,-29.106,45.000
772,-29.096,35.000
773,-29.087,39.000
774,-29.077,41.000
775,-29.067,38.000
776,-29.057,36.000
777,-29.047,41.000
778,-29.036,9.000
779,-29.026,11.000
780,-29.016,0.000
781,-29.006,3.000
782,-28.996,13.000
783,-28.986,10.000
784,-28.976,6.000
785,-28.966,13.000
786,-28.956,10.000
787,-28.946,13.000
788,-28.935,36.000
789,-28.925,35.000
790,-28.915,39.000
791,-28.905,40.000
792,-28.895,36.000
793,-28.886,36.000
794,-28.876,36.000
795,-28.866,40.000
796,-28.856,39.000
797,-28.846,33.000
798,-28.836,45.000
799,-28.825,13.000
800,-28.815,6.000
801,-28.805,13.000
802,-28.795,11.000
803,-28.785,5.000
804,-28.775,5.000
805,-28.765,13.000
806,-28.755,14.000
807,-28.745,14.000
808,-28.734,39.000
809,-28.724,36.000
810,-28.714,41.000
811,-28.704,41.000
812,-28.694,41.000
813,-28.685,35.000
814,-28.675,40.000
815,-28.665,39.000
816,-28.655,35.000
817,-28.645,40.000
818,-28.635,39.000
819,-28.624,10.000
820,-28.614,9.000
821,-28.604,25.000
822,-28.594,10.000
823,-28.584,10.000
824,-28.574,9.000
825,-28.564,14.000
826,-28.554,11.000
827,-28.544,11.000
828,-28.534,5.000
829,-28.524,11.000
830,-28.513,38.000
831,-28.503,44.000
832,-28.493,41.000
833,-28.484,36.000
834,-28.474,43.000
835,-28.464,36.000
836,-28.454,36.000
837,-28.444,40.000
838,-28.434,38.000
839,-28.424,43.000
840,-28.413,9.000
841,-28.403,6.000
842,-28.393,10.000
843,-28.383,8.000
844,-28.373,9.000
845,-28.363,9.000
846,-28.353,10.000
847,-28.343,8.000
848,-28.333,10.000
849,-28.323,9.000
850,-28.313,7.000
851,-28.302,43.000
852,-28.292,39.000
853,-28.283,40.000
854,-28.273,40.000
855,-28.263,40.000
856,-28.253,38.000
857,-28.243,42.000
858,-28.233,41.000
859,-28.223,38.000
860,-28.213,44.000
861,-28.202,8.000
862,-28.192,10.000
863,-28.182,8.000
864,-28.172,9.000
865,-28.162,13.000
866,-28.152,9.000
867,-28.142,6.000
868,-28.132,7.000
869,-28.122,13.000
870,-28.112,8.000
871,-28.102,9.000
872,-28.091,44.000
873,-28.082,40.000
874,-28.072,42.000
875,-28.062,44.000
876,-28.052,35.000
877,-28.042,39.000
878,-28.032,49.000
879,-28.022,39.000
880,-28.012,43.000
881,-28.002,44.000
882,-27.992,44.000
883,-27.981,8.000
884,-27.971,16.000
885,-27.961,8.000
886,-27.951,11.000
887,-27.941,18.000
888,-27.931,11.000
889,-27.921,11.000
890,-27.911,6.000
891,-27.901,19.000
892,-27.891,11.000
893,-27.881,37.000
894,-27.871,45.000
895,-27.861,44.000
896,-27.851,39.000
897,-27.841,33.000
898,-27.831,40.000
899,-27.821,38.000
900,-27.811,40.000
901,-27.801,40.000
902,-27.791,38.000
903,-27.781,40.000
904,-27.770,10.000
905,-27.760,13.000
906,-27.750,13.000
907,-27.740,8.000
908,-27.730,9.000
909,-27.720,7.000
910,-27.710,14.000
911,-27.700,13.000
912,-27.690,11.000
913,-27.680,10.000
914,-27.670,38.000
915,-27.660,39.000
916,-27.650,44.000
917,-27.640,40.000
918,-27.630,39.000
919,-27.620,42.000
920,-27.610,48.000
921,-27.600,41.000
922,-27.590,36.000
923,-27.580,44.000
924,-27.570,40.000
925,-27.559,9.000
926,-27.549,12.000
927,-27.539,10.000
928,-27.529,12.000
929,-27.519,15.000
930,-27.509,14.000
931,-27.499,9.000
932,-27.489,4.000
933,-27.479,9.000
934,-27.470,6.000
935,-27.460,14.000
936,-27.449,34.000
937,-27.439,37.000
938,-27.429,35.000
939,-27.419,36.000
940,-27.409,39.000
941,-27.399,43.000
942,-27.389,42.000
943,-27.379,37.000
944,-27.369,37.000
945,-27.359,39.000
946,-27.348,13.000
947,-27.338,7.000
948,-27.328,14.000
949,-27.318,5.000
950,-27.308,14.000
951,-27.298,13.000
952,-27.288,12.000
953,-27.278,14.000
954,-27.269,9.000
955,-27.259,5.000
956,-27.249,7.000
957,-27.238,40.000
958,-27.228,40.000
959,-27.218,37.000
960,-27.208,44.000
961,-27.198,37.000
962,-27.188,43.000
963,-27.178,37.000
964,-27.168,35.000
965,-27.158,44.000
966,-27.148,43.000
967,-27.138,38.000
968,-27.127,13.000
969,-27.117,10.000
970,-27.107,10.000
971,-27.097,7.000
972,-27.087,8.000
973,-27.078,9.000
974,-27.068,18.000
975,-27.058,7.000
976,-27.048,13.000
977,-27.038,9.000
978,-27.027,40.000
979,-27.017,37.000
980,-27.007,45.000
981,-26.997,45.000
982,-26.987,40.000
983,-26.977,38.000
984,-26.967,38.000
985,-26.957,44.000
986,-26.947,40.000
987,-26.937,43.000
988,-26.927,38.000
989,-26.916,19.000
990,-26.906,9.000
991,-26.896,9.000
992,-26.886,5.000
993,-26.877,15.000
994,-26.867,14.000
995,-26.857,9.000
996,-26.847,12.000
997,-26.837,12.000
998,-26.827,5.000
999,-26.816,42.000
1000,-26.806,43.000
1001,-26.796,47.000
1002,-26.786,34.000
1003,-26.776,34.000
1004,-26.766,40.000
1005,-26.756,44.000
1006,-26.746,44.000
1007,-26.736,35.000
1008,-26.726,37.000
1009,-26.716,40.000
1010,-26.705,7.000
1011,-26.695,15.000
1012,-26.685,9.000
1013,-26.676,7.000
1014,-26.666,10.000
1015,-26.656,14.000
1016,-26.646,13.000
1017,-26.636,7.000
1018,-26.626,12.000
1019,-26.616,8.000
1020,-26.606,14.000
1021,-26.595,45.000
1022,-26.585,42.000
1023,-26.575,40.000
1024,-26.565,44.000
1025,-26.555,39.000
1026,-26.545,42.000
1027,-26.535,43.000
1028,-26.525,38.000
1029,-26.515,46.000
1030,-26.504,12.000
1031,-26.494,5.000
1032,-26.484,18.000
1033,-26.475,7.000
1034,-26.465,3.000
1035,-26.455,10.000
1036,-26.445,9.000
1037,-26.435,12.000
1038,-26.425,8.000
1039,-26.415,14.000
1040,-26.405,10.000
1041,-26.394,43.000
1042,-26.384,45.000
1043,-26.374,39.000
1044,-26.364,42.000
1045,-26.354,39.000
1046,-26.344,34.000
1047,-26.334,47.000
1048,-26.324,39.000
1049,-26.314,39.000
1050,-26.304,39.000
1051,-26.293,5.000
1052,-26.283,13.000
1053,-26.274,13.000
1054,-26.264,10.000
1055,-26.254,14.000
1056,-26.244,5.000
1057,-26.234,14.000
1058,-26.224,10.000
1059,-26.214,12.000
1060,-26.204,13.000
1061,-26.194,7.000
1062,-26.183,39.000
1063,-26.173,45.000
1064,-26.163,38.000
1065,-26.153,42.000
1066,-26.143,40.000
1067,-26.133,37.000
1068,-26.123,47.000
1069,-26.113,44.000
1070,-26.103,45.000
1071,-26.093,39.000
1072,-26.083,42.000
1073,-26.073,9.000
1074,-26.063,5.000
1075,-26.053,8.000
1076,-26.043,14.000
1077,-26.033,10.000
1078,-26.023,7.000
1079,-26.013,5.000
1080,-26.003,10.000
1081,-25.993,11.000
1082,-25.983,12.000
1083,-25.972,45.000
1084,-25.962,38.000
1085,-25.952,48.000
1086,-25.942,42.000
1087,-25.932,44.000
1088,-25.922,42.000
1089,-25.912,39.000
1090,-25.902,44.000
1091,-25.892,40.000
1092,-25.882,43.000
1093,-25.872,42.000
1094,-25.862,7.000
1095,-25.852,13.000
1096,-25.842,13.000
1097,-25.832,10.000
1098,-25.822,12.000
1099,-25.812,13.000
1100,-25.802,7.000
1101,-25.792,13.000
1102,-25.782,14.000
1103,-25.772,5.000
1104,-25.761,39.000
1105,-25.751,37.000
1106,-25.741,46.000
1107,-25.731,47.000
1108,-25.721,40.000
1109,-25.711,41.000
1110,-25.701,40.000
1111,-25.691,39.000
1112,-25.681,42.000
1113,-25.671,42.000
1114,-25.662,44.000
1115,-25.651,8.000
1116,-25.641,9.000
1117,-25.631,15.000
1118,-25.621,4.000
1119,-25.611,4.000
1120,-25.601,13.000
1121,-25.591,12.000
1122,-25.581,12.000
1123,-25.571,10.000
1124,-25.561,9.000
1125,-25.551,6.000
1126,-25.540,40.000
1127,-25.530,42.000
1128,-25.520,43.000
1129,-25.510,49.000
1130,-25.500,43.000
1131,-25.490,43.000
1132,-25.480,48.000
1133,-25.470,45.000
1134,-25.461,41.000
1135,-25.451,41.000
1136,-25.440,9.000
1137,-25.430,7.000
1138,-25.420,9.000
1139,-25.410,8.000
1140,-25.400,15.000
1141,-25.390,4.000
1142,-25.380,9.000
1143,-25.370,8.000
1144,-25.360,9.000
1145,-25.350,8.000
1146,-25.340,12.000
1147,-25.329,39.000
1148,-25.319,44.000
1149,-25.309,43.000
1150,-25.299,35.000
1151,-25.289,48.000
1152,-25.279,48.000
1153,-25.269,39.000
1154,-25.260,39.000
1155,-25.250,44.000
1156,-25.240,37.000
1157,-25.230,44.000
1158,-25.219,17.000
1159,-25.209,10.000
1160,-25.199,11.000
1161,-25.189,12.000
1162,-25.179,13.000
1163,-25.169,14.000
1164,-25.159,13.000
1165,-25.149,9.000
1166,-25.139,9.000
1167,-25.129,10.000
1168,-25.118,42.000
1169,-25.108,41.000
1170,-25.098,43.000
1171,-25.088,42.000
1172,-25.078,43.000
1173,-25.068,43.000
1174,-25.059,42.000
1175,-25.049,40.000
1176,-25.039,41.000
1177,-25.029,47.000
1178,-25.019,40.000
1179,-25.008,6.000
1180,-24.998,8.000
1181,-24.988,8.000
1182,-24.978,15.000
1183,-24.968,12.000
1184,-24.958,10.000
1185,-24.948,7.000
1186,-24.938,14.000
1187,-24.928,13.000
1188,-24.918,12.000
1189,-24.907,42.000
1190,-24.897,34.000
1191,-24.887,43.000
1192,-24.877,38.000
1193,-24.868,42.000
1194,-24.858,39.000
1195,-24.848,35.000
1196,-24.838,40.000
1197,-24.828,52.000
1198,-24.818,46.000
1199,-24.808,38.000
1200,-24.797,14.000
1201,-24.787,17.000
1202,-24.777,7.000
1203,-24.767,12.000
1204,-24.757,9.000
1205,-24.747,15.000
1206,-24.737,8.000
1207,-24.727,11.000
1208,-24.717,7.000
1209,-24.707,13.000
1210,-24.697,9.000
1211,-24.686,44.000
1212,-24.676,44.000
1213,-24.667,39.000
1214,-24.657,44.000
1215,-24.647,39.000
1216,-24.637,46.000
1217,-24.627,37.000
1218,-24.617,39.000
1219,-24.607,42.000
1220,-24.597,44.000
1221,-24.586,2.000
1222,-24.576,6.000
1223,-24.566,10.000
1224,-24.556,14.000
1225,-24.546,9.000
1226,-24.536,14.000
1227,-24.526,19.000
1228,-24.516,13.000
1229,-24.506,13.000
1230,-24.496,10.000
1231,-24.486,9.000
1232,-24.475,43.000
1233,-24.466,38.000
1234,-24.456,49.000
1235,-24.446,41.000
1236,-24.436,41.000
1237,-24.426,47.000
1238,-24.416,44.000
1239,-24.406,39.000
1240,-24.396,38.000
1241,-24.386,43.000
1242,-24.375,9.000
1243,-24.365,8.000
